RA,Dec,x,y,F814W,err,F475W,err_1,chi_I,chi_B,sharp_I,sharp_B,color
49.9651976,41.2803363,559.223,3234.166,24.248,0.043,25.464,0.054,1.017,1.167,0.161,0.02,-1.216
50.0170799,41.287749,3416.356,3268.502,23.193,0.049,24.958,0.038,1.772,1.008,0.211,0.128,-1.765
49.9693125,41.2802753,776.549,3282.738,24.783,0.045,26.416,0.088,0.812,0.945,0.015,-0.056,-1.633
50.000662,41.2849819,2506.242,3287.561,25.193,0.072,26.704,0.089,1.205,0.671,0.055,0.109,-1.511
50.0009177,41.2847837,2516.965,3304.296,25.172,0.072,26.526,0.089,1.218,0.846,0.272,0.286,-1.354
49.9595813,41.2782723,231.848,3319.358,23.134,0.038,24.942,0.046,1.246,1.345,0.162,0.18,-1.808
49.9934348,41.2831166,2096.341,3341.566,25.263,0.063,26.532,0.07,0.953,0.561,0.248,-0.005,-1.269
50.0142536,41.2858585,3239.491,3371.59,25.125,0.047,26.577,0.094,0.691,0.879,-0.065,0.275,-1.452
49.9844215,41.2806875,1583.645,3416.125,24.963,0.059,26.461,0.075,1.048,0.713,0.106,-0.182,-1.498
49.9832437,41.2801135,1512.974,3443.973,24.51,0.046,25.898,0.053,0.991,0.727,0.108,-0.063,-1.388
50.0025516,41.2825789,2572.105,3477.423,24.916,0.058,26.62,0.088,1.098,0.75,0.22,0.123,-1.704
49.9918654,41.2809312,1981.872,3478.925,24.86,0.051,26.363,0.076,0.927,0.803,0.152,0.228,-1.503
50.0026303,41.2822824,2572.04,3499.197,24.688,0.059,26.242,0.053,1.288,0.49,0.163,0.099,-1.554
49.9943924,41.2796183,2097.108,3598.719,25.274,0.055,26.737,0.123,0.753,1.083,-0.078,-0.034,-1.463
49.9794771,41.2773478,1273.672,3598.639,24.285,0.045,25.86,0.051,1.093,0.749,0.114,0.144,-1.575
50.0117326,41.2815647,3044.491,3647.554,24.249,0.034,25.686,0.039,0.725,0.573,0.072,0.04,-1.437
49.9695596,41.2750741,715.194,3652.413,24.988,0.064,26.729,0.067,1.188,0.379,0.083,-0.029,-1.741
49.9674089,41.2746617,595.237,3658.372,25.27,0.052,26.586,0.085,0.723,0.75,0.071,-0.083,-1.316
49.9860165,41.2774674,1622.172,3660.499,25.486,0.055,27.447,0.133,0.636,0.486,0.127,-0.135,-1.961
49.963679,41.273988,387.79,3665.77,24.492,0.067,26.012,0.065,1.648,0.93,0.285,0.257,-1.52
50.0278194,41.2837254,3928.437,3667.624,24.544,0.061,26.016,0.044,1.466,0.485,0.257,-0.046,-1.472
49.9899725,41.2779629,1839.049,3668.048,24.972,0.041,26.411,0.066,0.577,0.571,-0.01,-0.035,-1.439
49.9930718,41.2784336,2010.144,3668.129,23.821,0.047,25.381,0.034,1.387,0.606,0.193,0.06,-1.56
49.9629481,41.2732049,337.812,3713.158,25.225,0.051,27.073,0.096,0.682,0.461,0.047,-0.023,-1.848
49.984917,41.2765108,1550.18,3716.18,24.622,0.036,25.945,0.065,0.615,0.99,-0.017,-0.133,-1.323
